Post_oldid,Real_ID,date,COVID_Post,RiskFactor_2_CTA,SocialDisparities_3_CTA,Debunk_4_CTA,UncertaintyReduction_5_CTA,Testing_6_CTA,Vaccine_7_CTA,Mental_8_YesNo,Emotion_9_Number,Praise_10_Number,Pop_11_Number,Language_12_Number,Action_13_CTA,Positive_14a_Number,Negative_14b_Number,Individual_14c_Number,Collective_14d_Number,State_ recode,Gov_poli,Trifecta,White_percent,minority_percent,Poverty_percent,ProspertiyRanking,year,month,day,state,cases
1,2069,9/22/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,5,2,2,36.5,63.5,11.8,25,2020,9,22,CA,2860
2,2070,8/27/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,5,2,2,36.5,63.5,11.8,25,2020,8,27,CA,5352
3,2071,12/29/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,5,2,2,36.5,63.5,11.8,25,2020,12,29,CA,34167
4,2072,9/29/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,5,2,2,36.5,63.5,11.8,25,2020,9,29,CA,3143
5,2073,10/6/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,5,2,2,36.5,63.5,11.8,25,2020,10,6,CA,2602
6,2074,12/31/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,5,2,2,36.5,63.5,11.8,25,2020,12,31,CA,32295
7,403,4/2/20,1,88,88,88,88,88,88,0,0,0,0,0,7,0,0,0,0,2,1,3,60.2,39.8,10.2,39,2020,4,2,AK,3
8,5425,12/1/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,30,2,2,54.6,45.4,9.1,12,2020,12,1,NJ,4606
9,5842,12/20/20,1,88,88,88,1,1,88,0,0,0,0,0,1,0,0,0,0,39,2,1,71.4,28.6,11.6,18,2020,12,20,RI,0
10,2075,3/5/20,1,88,88,88,1,88,88,0,0,0,0,1,1,1,0,0,1,5,2,2,36.5,63.5,11.8,25,2020,3,5,CA,12
11,2076,4/22/20,1,88,88,88,1,88,88,0,0,0,0,1,1,1,0,0,1,5,2,2,36.5,63.5,11.8,25,2020,4,22,CA,1729
12,4003,4/17/20,1,88,88,88,1,88,88,0,0,0,0,1,1,0,0,0,0,9,1,1,53.2,46.8,12.7,31,2020,4,17,FL,1413
13,2616,12/22/20,1,88,88,88,88,88,0,0,0,0,0,1,0,0,0,0,0,6,2,2,67.7,32.3,9.4,11,2020,12,22,CO,2684
14,9189,4/30/20,1,88,88,88,1,1,88,0,0,0,0,0,1,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,4,30,DC,217
15,9190,4/30/20,1,88,88,88,1,1,88,0,0,0,0,1,1,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,4,30,DC,217
16,404,12/12/20,1,3,88,88,88,88,88,0,0,1,0,1,3,2,0,0,2,2,1,3,60.2,39.8,10.2,39,2020,12,12,AK,520
20,4004,5/15/20,1,88,88,88,88,88,88,0,0,0,0,1,4,0,0,0,0,9,1,1,53.2,46.8,12.7,31,2020,5,15,FL,928
21,9191,10/12/20,1,88,88,88,3,88,88,0,0,0,1,0,3,1,0,1,0,51,2,2,37.5,62.5,14.1,8,2020,10,12,DC,38
22,9192,10/22/20,1,88,88,88,3,88,88,0,0,0,1,0,3,1,0,1,0,51,2,2,37.5,62.5,14.1,8,2020,10,22,DC,39
22,5843,12/11/20,1,88,88,1,88,88,1,0,0,0,0,1,1,0,0,0,0,39,2,1,71.4,28.6,11.6,18,2020,12,11,RI,1571
23,9193,8/13/20,1,88,88,88,3,88,88,0,0,0,1,0,3,1,0,1,0,51,2,2,37.5,62.5,14.1,8,2020,8,13,DC,65
24,9194,5/8/20,1,88,88,88,3,88,88,0,0,0,1,0,3,1,0,1,0,51,2,2,37.5,62.5,14.1,8,2020,5,8,DC,245
24,3298,10/19/20,1,88,88,88,88,88,1,0,0,0,0,1,1,0,0,0,0,7,2,2,65.9,34.1,9.9,2,2020,10,19,CT,1191
25,9195,5/23/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,5,23,DC,73
25,2077,10/30/20,1,88,88,88,88,88,88,0,0,0,0,1,3,0,0,0,0,5,2,2,36.5,63.5,11.8,25,2020,10,30,CA,4933
26,9196,10/5/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,10,5,DC,28
26,5844,12/23/20,1,3,88,88,88,88,88,0,0,0,0,1,3,2,0,2,0,39,2,1,71.4,28.6,11.6,18,2020,12,23,RI,879
27,5845,12/16/20,1,3,88,88,88,88,88,0,0,0,0,1,3,2,0,2,0,39,2,1,71.4,28.6,11.6,18,2020,12,16,RI,972
27,9197,3/5/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,3,5,DC,
28,5846,12/20/20,1,3,88,88,88,88,88,0,0,0,0,1,3,2,0,2,0,39,2,1,71.4,28.6,11.6,18,2020,12,20,RI,0
29,9198,12/31/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,51,2,2,37.5,62.5,14.1,8,2020,12,31,DC,225
29,5847,12/17/20,1,3,88,88,88,88,88,0,0,0,0,1,3,2,0,2,0,39,2,1,71.4,28.6,11.6,18,2020,12,17,RI,1081
30,9199,12/17/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,51,2,2,37.5,62.5,14.1,8,2020,12,17,DC,228
30,5848,12/23/20,1,3,88,88,88,88,88,0,0,0,0,1,3,2,0,2,0,39,2,1,71.4,28.6,11.6,18,2020,12,23,RI,879
31,9200,3/12/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,51,2,2,37.5,62.5,14.1,8,2020,3,12,DC,0
31,4890,12/6/20,1,88,88,88,88,88,88,0,0,0,0,1,0,0,0,0,0,13,2,2,60.8,39.2,11.4,21,2020,12,6,IL,7481
32,9201,11/19/20,1,88,88,88,1,88,88,0,0,0,1,0,1,1,0,1,0,51,2,2,37.5,62.5,14.1,8,2020,11,19,DC,213
33,9202,10/29/20,1,88,88,88,1,88,88,0,0,0,1,0,1,1,0,1,0,51,2,2,37.5,62.5,14.1,8,2020,10,29,DC,101
33,2078,7/6/20,1,88,88,88,0,88,88,0,0,0,0,1,0,0,0,0,0,5,2,2,36.5,63.5,11.8,25,2020,7,6,CA,6282
34,9203,8/19/20,1,88,88,88,1,88,88,0,0,0,1,0,1,1,0,1,0,51,2,2,37.5,62.5,14.1,8,2020,8,19,DC,29
35,1647,8/14/20,1,88,88,88,2,88,88,0,0,0,0,1,2,1,0,0,1,4,1,1,54.1,45.9,13.5,40,2020,8,14,AZ,960
36,1648,10/1/20,1,88,88,88,2,88,88,0,0,0,0,1,2,1,0,0,1,4,1,1,54.1,45.9,13.5,40,2020,10,1,AZ,703
37,1649,7/23/20,1,88,88,88,2,88,88,0,0,0,0,1,2,1,0,0,1,4,1,1,54.1,45.9,13.5,40,2020,7,23,AZ,2370
38,9204,7/16/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,1,2,0,51,2,2,37.5,62.5,14.1,8,2020,7,16,DC,50
38,6142,12/28/20,1,88,88,88,88,88,88,0,0,0,0,1,0,0,0,0,0,42,1,1,73.5,26.5,13.8,41,2020,12,28,TN,3495
39,9205,12/22/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,1,2,0,51,2,2,37.5,62.5,14.1,8,2020,12,22,DC,160
39,6143,12/21/20,1,88,88,88,88,88,88,0,0,0,0,1,0,0,0,0,0,42,1,1,73.5,26.5,13.8,41,2020,12,21,TN,9265
40,9206,11/17/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,1,2,0,51,2,2,37.5,62.5,14.1,8,2020,11,17,DC,245
41,9207,9/22/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,1,2,0,51,2,2,37.5,62.5,14.1,8,2020,9,22,DC,43
41,1102,7/31/20,1,88,88,88,3,88,88,0,0,0,0,1,3,0,0,0,0,3,1,1,72,28,16,50,2020,7,31,AR,752
42,9208,8/18/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,1,2,0,51,2,2,37.5,62.5,14.1,8,2020,8,18,DC,52
42,2617,5/17/20,1,88,88,88,1,88,88,0,0,0,2,1,1,3,0,0,3,6,2,2,67.7,32.3,9.4,11,2020,5,17,CO,305
43,9209,7/7/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,1,2,0,51,2,2,37.5,62.5,14.1,8,2020,7,7,DC,54
44,1103,7/7/20,1,88,88,88,4,88,88,0,0,0,1,1,4,0,0,0,0,3,1,1,72,28,16,50,2020,7,7,AR,259
44,9210,12/15/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,3,4,0,51,2,2,37.5,62.5,14.1,8,2020,12,15,DC,301
45,9211,10/11/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,3,4,0,51,2,2,37.5,62.5,14.1,8,2020,10,11,DC,66
45,2618,12/6/20,1,88,88,88,88,88,88,0,0,0,0,1,1,0,0,0,0,6,2,2,67.7,32.3,9.4,11,2020,12,6,CO,4336
46,9212,6/10/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,3,4,0,51,2,2,37.5,62.5,14.1,8,2020,6,10,DC,63
47,9213,9/15/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,3,4,0,51,2,2,37.5,62.5,14.1,8,2020,9,15,DC,65
48,9214,8/25/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,3,4,0,51,2,2,37.5,62.5,14.1,8,2020,8,25,DC,45
48,1650,7/22/20,1,88,88,88,88,1,88,0,0,0,0,1,1,0,0,0,0,4,1,1,54.1,45.9,13.5,40,2020,7,22,AZ,1929
49,9215,4/8/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,3,4,0,51,2,2,37.5,62.5,14.1,8,2020,4,8,DC,229
49,2619,5/17/20,1,1,88,88,1,88,88,0,0,0,0,1,1,2,0,1,1,6,2,2,67.7,32.3,9.4,11,2020,5,17,CO,305
50,9216,6/23/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,3,4,0,51,2,2,37.5,62.5,14.1,8,2020,6,23,DC,36
56,9217,7/6/20,1,88,88,88,2,2,88,0,0,0,0,0,2,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,7,6,DC,33
56,3299,4/5/20,1,88,88,88,2,88,88,0,0,0,3,1,2,1,0,0,1,7,2,2,65.9,34.1,9.9,2,2020,4,5,CT,399
57,9218,5/11/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,5,11,DC,117
57,3300,4/4/20,1,88,88,88,2,88,88,0,0,0,3,1,2,1,0,0,1,7,2,2,65.9,34.1,9.9,2,2020,4,4,CT,361
58,9219,10/22/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,10,22,DC,39
58,3301,4/2/20,1,88,88,88,2,88,88,0,0,0,3,1,2,1,0,0,1,7,2,2,65.9,34.1,9.9,2,2020,4,2,CT,267
59,9220,10/14/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,10,14,DC,64
59,6144,12/7/20,1,88,88,88,2,88,88,0,0,0,0,1,2,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,7,TN,7930
60,9221,9/30/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,9,30,DC,26
61,9222,9/17/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,9,17,DC,47
62,9223,8/9/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,8,9,DC,100
63,9224,3/9/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,3,9,DC,3
64,9225,8/27/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,8,27,DC,72
64,4763,12/16/20,1,88,88,88,1,88,1,0,0,0,2,0,1,0,0,0,0,12,1,1,81.6,18.4,11,23,2020,12,16,ID,1548
65,9226,8/25/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,8,25,DC,45
66,5849,12/24/20,1,88,88,88,88,88,0,0,0,0,1,0,0,2,0,0,2,39,2,1,71.4,28.6,11.6,18,2020,12,24,RI,0
66,9227,7/8/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,7,8,DC,73
67,9228,7/24/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,7,24,DC,78
68,9229,7/17/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,7,17,DC,39
68,6751,12/2/20,1,88,88,88,2,88,88,0,0,0,0,0,2,1,0,0,1,49,2,3,80.9,16.3,10.4,10,2020,12,2,WI,4565
69,9230,10/7/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,10,7,DC,45
69,2620,9/15/20,1,88,88,88,88,88,88,0,1,0,1,0,0,0,0,0,0,6,2,2,67.7,32.3,9.4,11,2020,9,15,CO,543
70,9231,6/24/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,6,24,DC,34
70,2621,10/14/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,0,1,6,2,2,67.7,32.3,9.4,11,2020,10,14,CO,791
71,9232,6/16/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,6,16,DC,19
71,1,11/5/20,1,88,88,88,2,88,88,0,0,0,1,0,2,2,0,2,0,1,1,1,65.3,34.7,15.6,44,2020,11,5,AL,1381
72,9233,9/6/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,9,6,DC,41
72,6752,12/12/20,1,88,88,88,1,88,1,0,0,0,0,0,1,2,0,0,2,49,2,3,80.9,16.3,10.4,10,2020,12,12,WI,4624
73,4764,12/19/20,1,88,88,88,1,88,1,0,0,0,1,0,1,0,0,0,0,12,1,1,81.6,18.4,11,23,2020,12,19,ID,836
73,9234,2/6/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,2,6,DC,
74,9235,5/26/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,5,26,DC,109
75,9236,5/19/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,5,19,DC,164
75,2,9/1/20,1,88,88,88,1,88,88,0,0,0,0,0,0,0,0,0,0,1,1,1,65.3,34.7,15.6,44,2020,9,1,AL,1558
76,9237,9/21/20,1,88,88,88,1,88,88,0,0,0,2,0,1,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,9,21,DC,23
77,9238,9/18/20,1,88,88,88,1,88,88,0,0,0,2,0,1,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,9,18,DC,62
77,2622,9/3/20,1,88,88,88,1,88,88,1,1,0,0,0,1,0,0,0,0,6,2,2,67.7,32.3,9.4,11,2020,9,3,CO,288
78,9239,11/26/20,1,88,88,88,3,88,88,0,0,0,0,0,3,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,11,26,DC,220
78,6753,12/18/20,1,88,88,88,3,88,3,0,0,0,0,0,3,1,0,0,1,49,2,3,80.9,16.3,10.4,10,2020,12,18,WI,3921
79,9240,11/20/20,1,88,88,88,3,88,88,0,0,0,0,0,3,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,11,20,DC,130
81,9241,12/31/20,1,88,88,88,1,88,1,0,0,0,2,0,1,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,12,31,DC,225
82,9242,12/30/20,1,88,88,88,2,88,2,0,0,0,2,0,2,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,12,30,DC,223
83,9243,12/31/20,1,2,88,88,88,88,88,0,0,0,0,0,2,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,12,31,DC,225
83,3,8/19/20,1,88,88,0,88,88,88,0,0,0,0,0,0,0,0,0,0,1,1,1,65.3,34.7,15.6,44,2020,8,19,AL,1117
84,9244,12/29/20,1,2,88,88,88,88,88,0,0,0,0,0,2,0,0,0,0,51,2,2,37.5,62.5,14.1,8,2020,12,29,DC,193
84,4765,12/12/20,1,88,88,88,88,88,88,0,1,0,0,0,3,0,0,0,0,12,1,1,81.6,18.4,11,23,2020,12,12,ID,769
85,9245,5/31/20,1,88,88,88,5,88,88,0,0,0,0,0,5,2,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,5,31,DC,84
85,405,12/4/20,1,88,88,88,88,88,88,0,0,0,1,0,0,0,2,1,1,2,1,3,60.2,39.8,10.2,39,2020,12,4,AK,761
86,9246,6/13/20,1,88,88,88,5,88,88,0,0,0,0,0,5,2,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,6,13,DC,55
86,406,12/10/20,1,88,88,88,88,88,88,0,0,1,2,0,3,0,0,0,0,2,1,3,60.2,39.8,10.2,39,2020,12,10,AK,636
87,9247,10/6/20,1,88,88,88,5,88,88,0,0,0,0,0,5,2,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,10,6,DC,105
87,407,11/15/20,1,88,88,88,88,88,88,0,0,0,0,0,0,2,0,0,2,2,1,3,60.2,39.8,10.2,39,2020,11,15,AK,659
88,9248,10/6/20,1,88,88,88,5,88,88,0,0,0,0,0,5,2,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,10,6,DC,105
88,408,11/8/20,1,88,88,88,88,88,88,0,0,0,0,0,0,4,0,1,3,2,1,3,60.2,39.8,10.2,39,2020,11,8,AK,518
89,9249,8/6/20,1,88,88,88,5,88,88,0,0,0,0,0,5,2,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,8,6,DC,75
89,409,11/30/20,1,88,88,88,88,88,88,0,0,0,2,0,0,2,0,0,2,2,1,3,60.2,39.8,10.2,39,2020,11,30,AK,511
90,9250,7/6/20,1,88,88,88,5,88,88,0,0,0,0,0,5,2,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,7,6,DC,33
91,4766,12/5/20,1,88,88,88,0,88,0,0,0,0,1,0,0,0,0,0,0,12,1,1,81.6,18.4,11,23,2020,12,5,ID,1023
91,9251,3/6/20,1,88,88,88,5,88,88,0,0,0,0,0,5,2,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,3,6,DC,
92,9252,6/27/20,1,88,88,88,5,88,88,0,0,0,0,0,5,2,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,6,27,DC,31
92,6754,12/2/20,1,3,88,88,3,88,88,0,0,0,0,0,3,1,0,0,1,49,2,3,80.9,16.3,10.4,10,2020,12,2,WI,4565
93,9253,6/23/20,1,88,88,88,5,88,88,0,0,0,0,0,5,2,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,6,23,DC,36
93,6755,12/28/20,1,88,88,88,5,5,88,0,0,0,0,0,5,0,0,0,0,49,2,3,80.9,16.3,10.4,10,2020,12,28,WI,1557
94,9254,6/17/20,1,88,88,88,5,88,88,0,0,0,0,0,5,2,0,0,2,51,2,2,37.5,62.5,14.1,8,2020,6,17,DC,29
94,6756,12/22/20,1,88,88,88,1,88,1,0,2,0,1,0,1,0,0,0,0,49,2,3,80.9,16.3,10.4,10,2020,12,22,WI,3027
95,410,12/11/20,1,88,88,88,88,88,88,0,0,0,0,0,0,0,0,0,0,2,1,3,60.2,39.8,10.2,39,2020,12,11,AK,627
96,411,12/8/20,1,88,88,88,88,88,88,0,0,0,0,0,1,1,0,0,1,2,1,3,60.2,39.8,10.2,39,2020,12,8,AK,573
97,2623,10/28/20,1,88,88,88,6,88,88,0,0,0,0,0,6,0,2,2,0,6,2,2,67.7,32.3,9.4,11,2020,10,28,CO,1503
